DATE;OPEN;HIGH;LOW;CLOSE
06.11.2018;114970;115010;114930;114960
06.11.2018;114970;115040;114950;115030
06.11.2018;115030;115040;114960;114970
06.11.2018;114960;114970;114910;114970
06.11.2018;114960;114960;114890;114900
06.11.2018;114910;114940;114870;114920
06.11.2018;114920;114930;114890;114890
06.11.2018;114910;114930;114860;114860
06.11.2018;114860;114910;114860;114900
06.11.2018;114890;114930;114840;114840
06.11.2018;114840;114850;114780;114790
06.11.2018;114790;114860;114790;114830
06.11.2018;114850;114880;114790;114800
06.11.2018;114810;114840;114740;114760
06.11.2018;114770;114800;114730;114780
06.11.2018;114780;114790;114730;114770
06.11.2018;114770;114790;114650;114730
06.11.2018;114720;114740;114700;114730
06.11.2018;114720;114760;114670;114670
06.11.2018;114680;114740;114610;114630
06.11.2018;114630;114710;114620;114700
06.11.2018;114700;114710;114640;114670
06.11.2018;114660;114710;114660;114700
06.11.2018;114700;114730;114670;114700
06.11.2018;114690;114760;114680;114740
06.11.2018;114740;114770;114670;114690
06.11.2018;114680;114740;114670;114730
06.11.2018;114730;114780;114710;114760
06.11.2018;114750;114760;114700;114710
06.11.2018;114720;114740;114700;114720
06.11.2018;114720;114730;114690;114710
06.11.2018;114710;114720;114670;114710
06.11.2018;114730;114750;114700;114730
06.11.2018;114720;114770;114680;114700
06.11.2018;114690;114750;114670;114740
06.11.2018;114740;114780;114680;114690
06.11.2018;114690;114730;114690;114710
06.11.2018;114720;114760;114700;114710
06.11.2018;114700;114750;114700;114750
06.11.2018;114750;114800;114750;114800
06.11.2018;114800;114830;114780;114800
06.11.2018;114810;114860;114800;114840
06.11.2018;114850;114870;114830;114850
06.11.2018;114840;114860;114810;114840
06.11.2018;114830;114840;114800;114820
06.11.2018;114820;114860;114810;114830
06.11.2018;114840;114890;114820;114860
06.11.2018;114860;114880;114850;114870
06.11.2018;114880;114890;114860;114860
06.11.2018;114860;114890;114830;114830
06.11.2018;114820;114940;114820;114940
06.11.2018;114930;114940;114850;114850
06.11.2018;114840;114860;114810;114810
06.11.2018;114810;114860;114790;114800
06.11.2018;114800;114840;114780;114830
06.11.2018;114820;114870;114800;114800
06.11.2018;114810;114870;114810;114870
06.11.2018;114870;114930;114860;114890
06.11.2018;114890;114910;114850;114880
06.11.2018;114860;114860;114800;114820
06.11.2018;114810;114840;114790;114810
06.11.2018;114810;114820;114730;114740
06.11.2018;114750;114780;114720;114720
06.11.2018;114720;114800;114720;114760
06.11.2018;114760;114760;114660;114700
06.11.2018;114720;114740;114700;114740
06.11.2018;114730;114740;114660;114700
06.11.2018;114700;114800;114700;114780
06.11.2018;114770;114780;114720;114740
06.11.2018;114730;114740;114670;114680
06.11.2018;114680;114730;114640;114720
06.11.2018;114790;114820;114460;114580
06.11.2018;114580;114630;114550;114570
06.11.2018;114570;114630;114560;114610
06.11.2018;114610;114630;114550;114580
06.11.2018;114580;114650;114570;114640
06.11.2018;114630;114650;114580;114610
06.11.2018;114590;114600;114550;114560
06.11.2018;114570;114630;114530;114600
06.11.2018;114620;114640;114590;114610
06.11.2018;114610;114610;114530;114560
